cas_number,ingredient_name,synonyms,category_4_limit_percent,reason,rule_year,source_pdf,smiles
41270-80-8;103798-23-6;8016-38-4,Methyl N-formylanthranilate,"Benzoic acid, 2-(formylamino)-, methyl ester Methyl 2-(formylamino)benzoate Methyl 2-formamidobenzoate Methyl o-formamidobenzoate N-Formylanthranilic acid, methyl ester",0.1,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Methyl N-formylanthranilate.pdf,COC(=O)c1ccccc1NC=O
93-08-3,Methyl β-naphthyl ketone,"2-Acetonaphthone β-Acetylnaphthalene Cetone d Ethanone, 1-(2-naphthalenyl) β-Methyl naphthyl ketone β-Naphthyl methyl ketone Oranger crystals",0.2,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Methyl β-naphthyl ketone.pdf,CC(=O)c1ccc2ccccc2c1
8016-20-4;90045-43-5,Grapefruit oil expressed,Not applicable.,4.0,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Grapefruit oil expressed.pdf,
68916-04-1;72968-50-4,Bitter orange peel oil expressed,"Orange Peel Oil, Bitter (Citrus aurantium L. subsp amara L.) Bitter orange oil (Citrus aurantium L. subsp. amara L.) Citrus aurantium peel oil Curacao peel oil (Citrus aurantium L.) Daidai peel oil (Citrus aurantium L.)",1.25,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Bitter orange peel oil expressed.pdf,
15323-35-0,Acetyl hexamethyl indan (AHMI),"5-Acetyl-1,1,2,3,3,6-hexamethyl indan 6-Acetyl-1,1,2,3,3,5-hexamethylindane 1-(2,3-Dihydro-1,1,2,3,3,6-hexamethyl-1h-inden-5-yl)ethanone Ethanone, 1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-1H-inden-5-yl)- 1,1,2,3,3,6-Hexamethylindan-5-yl methylketone Phantolid (commercial name)",2.0,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Acetyl hexamethyl indan (AHMI).pdf,CC1C(C)(C)c2cc(C)c(cc2C1(C)C)C(C)=O
85-91-6;93686-22-7;90131-21-8;8008-31-9;68917-20-4;8014-17-3;84929-38-4,Methyl N-methylanthranilate,"Benzoic acid, 2-(methylamino)-, methyl ester Dimethyl anthranilate 2-Methylamino methyl benzoate N-Methylanthranilic acid, methyl ester Methyl 2-(methylamino)benzoate Methyl 2-methylaminobenzoate Methyl o-methylaminobenzoate",0.1,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Methyl N-methylanthranilate.pdf,CNc1ccccc1C(=O)OC
144020-22-4;28371-99-5,"Acetic acid, anhydride, reaction products with 1,5,10-Trimethyl-1,5,9- cyclododecatriene",Methyl trimethylcyclododecatrienyl ketone (mixture of isomers) Trimofix O (commercial name) Fixamber (commercial name),2.4,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CC(=O)C1CCC(=C\CCC(=C/C/C=C1/C)\C)/C
88-29-9,Acetyl ethyl tetramethyl tetralin (AETT),"7-Acetyl-6-ethyl-1,1,4,4-tetramethyl-1,2,3,4-tetrahydronaphthalene Ethanone, 1-(3-ethyl-5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)- Versalide (commercial name)",,,2006.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C
15323-35-0,Acetyl hexamethyl indan (AHMI),"5-Acetyl-1,1,2,3,3,6-hexamethyl indan 6-Acetyl-1,1,2,3,3,5-hexamethylindane 1-(2,3-Dihydro-1,1,2,3,3,6-hexamethyl-1h-inden-5-yl)ethanone Ethanone, 1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-1H-inden-5-yl)- 1,1,2,3,3,6-Hexamethylindan-5-yl methylketone Phantolid (commercial name)",2.0,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CC1C(C)(C)c2cc(C)c(cc2C1(C)C)C(C)=O
13706-86-0,Acetyl isovaleryl,"5-Methyl-2,3-hexanedione 2,3-Hexanedione, 5-methyl- Acetyl isopentanoyl",,Skin Sensitization,2006.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CC(C)CC(=O)C(C)=O
